,Fecha,Operador,Ruta Detallada,Tipo aeronave_accidente,Pasajeros,Tripulacion,Pasajeros_Fallecidos,Tripulantes_Fallecidos,Muertos_en_tierra,resumen
535,1938-11-04,Jersey Airways,Jersey - Southhampton,de Havilland DH-86,13,1,13,1,1,Caught fire and crashed into a field two minutes after taking off. A farm worker was crushed to death when the wreckage landed on him. The pilot allowed the plane to fall into a side-slip while climbing through a low overcast and at an insufficient altitude for him to regain contol.
536,1938-11-14,KLM Royal Dutch Airlines,Berlin - Amsterdam,Douglas DC-3,14,5,2,4,0,The aircraft flew into the ground during approach in poor visibility. The first officer was commander of the military flying school Soesterberg. Pilot descended below a safe height during the approach.
537,1938-11-18,Trans Canada Air Lines,Winnipeg - Regina - Vancouver,Lockheed 14 Electra,0,2,0,2,0,The mail plane crashed several minutes after taking off from Regina
538,1938-11-26,Deutsche Lufthansa,Sin dato,Junkers JU90V2,10,5,9,3,0,During takeoff the aircraft hit a palm tree and burst into flames due to double engine failure.
539,1938-11-27,Imperial Airways,Southampton - Sydney,Short Empire Flying Boat,0,6,0,4,0,The flying boat crashed on Lake Ramadi at night in a sandstorm.
540,1938-11-29,United Air Lines,"Seattle, WA - Medford, OR - Oakland,CA",Douglas DC 3-A-SB-3-G-14,4,3,3,2,0,"The aircraft ran out of fuel and ditched into the ocean a little less than a mile offshore. Failure of the pilot to definitely establish the position of the aircraft through standard orientation procedures within a reasonable time after intersecting a leg of the Oakland radio range and of Company flight dispatchers, charged with the responsibilities of directing the operation of the trip, to properly safeguard the flight, resulting in forced landing of the aircraft at sea due to exhausted fuel supply."
541,1938-12-02,Mexicana,Mexico City - Merida,Lockheed 10E Electra,5,3,5,3,0,Crashed and burned on a hill while taking off in foggy conditions. The pilot did not have authorization to take off during poor visibility.
542,1938-12-08,Japan Aviation Corporation,Fukuoka - Taihoku,Nakajima A-T2,12,3,7,3,0,Crashed into the East China Sea after experiencing engine failure.
543,1938-12-09,KLM Royal Dutch Airlines,Instructional Flight,Lockheed 14-WF62 Super Electra,0,4,0,4,0,Whle taking off the aircraft stalled and struck a dyke near Schiphol Airport and caught fire.
544,1938-12-12,Qantas,Sin dato,Short S23 ‘C’ Class flying boat,0,0,0,0,0,Shot down by Japanese aircraft. Owned by Imperial Airways and operated by Qantas.
545,1939-01-07,Swissair,Zurich - Geneva - Paris,Douglas DC-2-115B,12,5,2,3,0,The aircraft crashed onto a field losing both wings while attempting to land in low overcast.
546,1939-01-13,Syndicato Condor,Vitoria - Rio de Janeiro,Junkers JU-52/3m,7,3,7,3,0,"In reduced visibility and strong winds, the seaplane crashed into the side of Mt. Chambe while attempting to land at Rio de Janerio."
547,1939-01-13,Northwest Orient Airlines,Chicago - Seattle,Lockheed 14-H Super Electra,2,2,2,2,0,"The aircraft crashed 2,650 feet past the runway boundry after taking off. A fire of considerable intensity developed, prior to the crash, in the cockpit of the aircraft, in the immediate vicinity of the gasoline cross-feed valve. It  was not possible to determine the exact origin and source of the fire."
548,1939-01-18,Guinea Airways,Katherine - Adelaide,Lockheed 14 Electra,1,3,1,3,0,"The mail plane failed to gain height after taking off, stalled and crashed into the Katherine River during a storm."
549,1939-01-21,Imperial Airways,New York City - Bermuda,Short S-23 (flying boat),8,5,2,1,0,"While en route, the aircraft ditched, broke in two  and sank in the Atlantic Ocean, 285 miles SE of Long Island New York. Complete loss of power to the two inner engines and partial loss of power to the two outer engines due to carburetor icing. The aircraft was named ""Cavalier."""
550,1939-02-12,Marine Airways,Ketchikan - Juneau,Fairchild 71(amphibious),5,1,5,1,0,The air taxi encountered low visibility and snow and crashed on Grand Island. The wreckage was found 1 month later
551,1939-02-24,Deutsche Lufthansa,"Barcelona, Spain - Rome, Italy",Junkers JU-52/3m,6,4,6,4,0,"While cruising in bad weather conditions, aircraft hit a mountain near Roubion, in the National Park of Mercantour, 50 km north of Nice. Engine trouble may have factored in the accident, which occurred in adverse weather conditions, with fog and falling snow in the area."
552,1939-03-14,Sabena,London - Brussels,Junkers JU-52,0,3,0,3,0,The cargo plane stalled and crashed into a field short of the runway.
553,1939-03-16,Deutsche Lufthansa,Sin dato,Junkers JU-86,6,2,6,2,0,Sin dato
554,1939-03-18,Boeing Aircraft Company,Test flight,Boeing 307 Stratoliner,8,2,8,2,0,"The aircraft crashed after the tail broke off. Dutch engineer A.G. von Baumhauer among those killed.  He was a famous helicopter pioneer who first came up with the tail rotor/main rotor configuration which is in use today. Strructural failure of the wings and horizontal tail surfaces due t o the imposition of loads thereon in excess of those for which they were designed, the failure occurring in an abrupt pull-out from a dive following recovery from an inadvertent spin."
555,1939-03-26,Braniff Airlines,Chicago - Kansas City - Wichita - Oklahoma City - Dallas,Douglas DC-2-112,9,3,7,1,0,"An explosion in an engine, just after takeoff blew the two halves of the cowl open creating excessive drag and causing the left wing to drop. The captain tried to circle back, but the wing impacted an embankment along a section line road and crashed about 100 yards inside the boundary. Either the hot metal of the engines or some other source ignited the fuel spilling out of the ruptured tank and the cabin was quickly engulfed in flames. The initial cause of the explosion was a cylinder blow out which was a problem with that particular engine and had caused problems in two other aircraft, a TWA and United DC-2, both of which landed safely."
556,1939-04-03,Air France,Sin dato,Caudron C.635 Simoun,0,0,0,0,0,Crashed into a mountain.
557,1939-05-01,Imperial Airways,London - Cairo- Mombasa - Dar es-Salaam - Lumbo - Maputo,Short S-23 Empire Flying Boat,0,4,0,2,0,After an aborted landing the plane hit the water and came to rest off Ilha de Mocambique island.
558,1939-05-02,Air France,"Casablanca, Morocco - Dakar, Senegal",Dewoitine D-338,6,3,6,3,0,Crashed and burned in a mountainous area due to icing.
559,1939-05-08,Military - Ecuadorian Air Force,Sin dato,Curtiss-Wright C-14 Osprey,0,1,0,1,22,"While performing aerobatics, the aircraft lost control and crashed into numerous building near a college."
560,1939-06-06,KLM Royal Duch Airlines,Training,Douglas DC-2,0,4,0,0,1,"During  a training flight with one engine out,  the crew hit an obstacle and then a sentry-box with 9 soldiers inside. One soldier  died and 3 others were wounded. The aircraft was repaired."
561,1939-06-10,KLM Royal Dutch Airlines,Haamstede - Vlissingen,Koolhoven FK.43,1,2,1,2,0,"The crew  made a steep turn over a beach at too low a speed, stalled and crashed. Two student pilots.were flying the plane."
562,1939-06-20,British American Air Services,Heston - Newcastle,de Havilland DH.89 Dragon Rapide,1,2,1,2,0,The aircraft hit the slope of Mt Dora's Seat when flying too low.
563,1939-07-20,Swissair,Vienna - Zurich,Junkers JU86 Z-2,4,2,4,2,0,While attempting to land the aircraft crashed after an engine fire caused a loss in air speed and a stall.
564,1939-08-04,Deutsche Lufthansa,Cologne - Toulouse - Barcelona - Casablanca,Junkers JU-52/3m,4,3,4,3,0,Crashed in the Llaveria mountains in heavy fog and caught fire. The plane hit the highest peak of the mountains.
565,1939-08-13,Pan American World Airways,Miami - Rio de Janerio,Sikorsky S43 (flying boat),12,4,10,4,0,"The plane lost power from the left engine, yawed to the left, and started a descending turn in the same direction. The plane continued to lose altitude and turn at a sharper and steeper angle until it struck a caisson anchored at right angles to a small island in the harbor immediately adjacent to its landing approach path.   Loss of power from the left engine during the landing approach, necessitating an attempted landing under extremely hazardous conditions."
566,1939-08-15,British Airways,London - Hamburg - Copenhagen,Lockheed 10 Electra,4,2,4,1,0,"Crashed into the sea after a fire aboard. Leakage of fuel from the overflow boxes, which resulted from overfilling of the fuel tanks."
567,1939-08-28,Indian National Airways,Calcutta - Dum Dum,De Havilland D-84,1,1,1,1,0,Crashed en route for unknown reasons.
568,1939-08-30,Deutsche Lufthansa,Berlin - Hanover - Cologne - London,Junkers JU-52/3m,4,3,4,3,0,The aircraft crashed while taking off from Hanover. Visibility was poor because of low fog covering the runway. The pilot was searching for the proper flight path when the plane veered towards a building while still 40 meters above the ground. The pilot tried to raise the plane while trying to turn left at the same time but lost control and crashed and the plane caught fire.The passengers were pilots of Lufthansa.
569,1939-09-26,KLM Royal Dutch Airlines,Copenhagen - Amsterdam,Douglas DC-3,15,5,1,0,0,One Swedish passenger was killed when the plane was attacked by a German fighter. The plane was able to land safely in Amsterdam.
570,1939-10-10,Scarta,Barranquilla - Girardot,Junkers W-34,3,2,3,2,0,Crashed while en route.
571,1939-11-20,British Airways,Training,Airspeed Oxford,0,2,0,2,0,Collided with the mooring of a ballon.went out of control and crashed.
572,1939-12-18,Iberia Airlines,Tetouan- Seville - Alicante,Junkers JU-52,6,3,6,3,0,Shot down by a British RAF fighter. Crashed 6 miles south of Europa Point.
573,1939-12-21,British Airways,Egypt - England,Lockheed 14 Super Electra,6,2,3,2,0,"Ditched into the sea, 300 miles NW of Alexandria, Egypt. A ship rescued six survivers."
574,1939-12-24,Linee Aeree Italiane,Rome - Rio de Janerio,Savoia-Marchetti SM83,3,4,3,4,0,Crashed into a mountain  60 km southeast of Mogadorin in  a storm while attempting to make a forced landing.
575,1940-01-22,KNILM,Batavia - Denpasar - Kupang - Darwin - Sydney,Lockheed 14 Super Electra,5,4,5,3,0,Crashed into the sea shortly after take-off. Cause unknown
576,1940-02-10,Ala Littoria SA,Catania - Brindisi - Rome,Savoia-Marchetti SM-75,4,6,4,6,0,Crashed and burned on a hill side in fog. Prior to crashing the crew reported ice on the wings.
577,1940-02-27,SCADTA,Bogota - Cucuta,Boeing 247D,9,2,9,2,0,"The plane hit a mountain in the Andes  near Tona, northeast of Bucaramanga after the crew lost their bearings in fog."
578,1940-03-01,Imperial Airways,Calcutta - Jask - Sharjah - Alexandria - London,Handley Page HP-42,4,4,4,4,0,"Crashed in the Persian Gulf while en route with out a trace. The aircraft was named ""Hannibal."""
579,1940-03-16,Ala Littoria,Tripol- Catania - Rome - Milan,Savoia Marchetti SM 73,10,4,10,4,0,The plane crashed into Stromboli Volcano. The cause was possibly bad weather or some electromagnetic phenomena.
580,1940-04-22,British Overseas Airways,Stockholm - Perth - Heston,Lockheed 14 Super Electra,2,3,2,3,0,Struck a mountain after being off course 10 miles to the west in reduced visibility.
581,1940-06-02,Douglas Aircraft Company,Test flight,Douglas DC-5,0,5,0,5,0,Crashed and burned during a government test flight
582,1940-06-14,Aero O-Y,"Tallinn, Estonia - Helsinki, Finland",Junkers JU-52/3mge,7,2,7,2,0,"The plane was en route when it was shot down by two Soviet Tupolev SB-2 bombers. The aircraft  crashed 2-3 nm offshore of Prangli Island near Keri Lighthouse. The aircraft was named ""Kaleva."""
583,1940-06-20,Air France,Sin dato,Dewoitine D-338,0,0,0,0,0,Inadvertently shot down by French anti-aircraft fire.
584,1940-07-07,Air France,Sin dato,Dewoitine D-338,0,0,0,0,0,Shot down by a Japanese military fighter.
585,1940-08-09,Deutsche Lufthansa,Sin dato,Douglas DC-2-115H,10,3,2,0,0,No cause was described except it being pilot error.
586,1940-08-13,Military - Royal Australian Air Force,Melbourne - Canberra,Lockheed Hudson A16-97,6,4,6,4,0,"The plane was seen circling Canberra Aerodrome after which it headed west to make the final approach for landing. The aircraft momentarily disappeared behind one of the hills that surround the airport, then reappeared. There was the sound of engines being gunned, then the aircraft disappeared again. An explosion and sight  of a large plume of black smoke followed. All on board the Hudson were killed including several high ranking Australian military leaders. A witness later said the aircraft appeared to drop its left wing and then dip its nose steeply, classic symptoms of a stall, too close to the ground for recovery."
587,1940-08-22,Aeroput,Zagreb - Split,Lockheed 10 Electra,9,2,9,2,0,Hit a mountain slope while en route.
588,1940-08-23,LARES,Baia Mare - Cluj-Napoca - Sibiu - Bucharest,Douglas DC-3,12,3,12,3,0,"While approaching Cluj-Napoca from the west, the aircraft was not on the assigned track and hit the slope of Mt Gaina during a hail and thunderstorm."
589,1940-08-31,Pennsylvania Central Airlines,Washington D.C. - Detroit,Douglas DC-3,21,4,21,4,0,"The aircraft was flying through a thunderstorm in turbulence when the it nosed over and plunged to earth near Short Hill Mountain.  Disabling of the pilots by a severe lightning discharge in the immediate neighborhood of the airplane, with resulting loss of control. With limited accident investigation tools at the time, the most likely cause was the plane flying into windshear.  U.S. Senator Ernest Lundeen from Minnesota killed."
590,1940-10-22,Aeroput,Belgrade - Osijek - Zagreb,Lockheed 10 Electra,9,3,4,3,0,Crashed while attempting to land.
591,1940-10-29,China National Aviation Corporation,Chungking - Kunming,Douglas DC-2,10,4,8,1,0,Shot down by Japanese military fighters. The plane ran into 5 Japanese fighters and made an emergency landing at a remote field only to be machine-gunned while trying to escape.
592,1940-10-29,Deutsche Lufthansa,Sin dato,Douglas DC-3,12,3,0,2,0,Hit the ground short of the runway in reduced visibility.
593,1940-11-04,Lloyd Aero Boliviano SA,Santa Cruz - Corumba,Junkers Ju-52/3m,14,3,14,3,0,Crashe in a storm while en route. Wreckage found 15 months later.
594,1940-11-04,United Air Lines,Oakland - Salt Lake City,Douglas DC-3,8,2,8,2,0,"The aircraft crashed into Bountiful Peak in the Wasatch Mountains, during a snowstorm, 3 nm NE of Centerville. The failure of the communications operators at Tintic, Plymouth, and Salt Lake City, Utah, whose duty it was to monitor the range, to detect its malfunctioning and immediately notify those concerned and the failure of the pilot to follow to the fullest extent established radio range technique in accordance with the requirements of the procedure established by United and approved by the Civil Aeronautics Administration."
595,1940-11-08,VASP,Rio de Janeiro - Sao Paulo,Junkers Ju53/2m,14,4,14,4,0,"Midair collision with a private plane.  After the collision, both aircraft crashed into the Botafogo Bay. Seventeen killed on the Junkers, 1 on the private plane."
596,1940-11-08,Deutsche Lufthansa,Berlin - Budapest,Junkers JU-90A-1,23,6,23,6,0,Crashed while en route in poor weather condtions . Icing.
597,1940-11-27,Air France,Sin dato,Farman F-224,0,0,0,0,0,Shot down by Italian aircraft.
598,1940-12-04,United Air Lines,New York City - Chicago,Douglas DC-3A,13,3,7,3,0,The aircraft crashed while attempting to land at Chicago. The failure of the pilot to exercise that degree of caution and skill required to avert a stall while approaching for a landing on the short northwest runway. A substantial contributing factor to the accident was the error in judgment of the pilot in choosing that short runway for his landing. An accumulation of ice on the wings may have increased the stalling speed of the plane.
599,1940-12-24,Ala Littolia,Catania - Rome,Savoia-Marchetti SM.75,3,4,3,4,0,"While en route, the aircraft was shot down by the pilot of a RAF fighter and crashed into the sea some 40 miles southwest of the Capri Island."
600,1941-01-10,LATI,Rome - Seville - Villa Cisneros - Sal - Natal - Rio,Savoia-Marchetti SM-83,12,4,12,4,0,Crashed into the Mediterranian sea while en route without a trace.
601,1941-01-15,LATI,Rio de Janeiro - Natal - Sal - Seville - Rome,Savoia-Marchetti SM-75,6,4,6,4,0,"Crashed near the Equator after the crew had lost an engine. Three hours after taking off, an SOS was transmitted. No trace of the plane was ever found."
602,1941-01-17,Malert Airlines,Budapest - Maros-Vasarhely,Junkers JU-52/3m,13,3,9,3,0,"An engine stalled during the initial climb and the plane crashed and burned,"
603,1941-01-20,China National Aviation Corporation,Sin dato,Ford 5-AT Tri-Motor,1,5,1,4,0,Crashed into a mountain during a thunderstorm and reduced visibility.
604,1941-01-23,Trans Continental and Western Air,"Kansas City, MO - New York",Douglas DC-3-3,10,3,1,1,0,"Shortly after passing over the west boundary of the airport, the pilot started a left turn. While in the turn, the plane contracted trees 113 feet above the level of the airport.  Full power was applied to the engines in an attempt to pull up but other trees were struck and the pilot lost control. The aircraft crashed to the ground at a point approximately one-fourth of a mile southwest of the airport boundary. The action of the pilot in attempting a landing under adverse weather conditions in disregard of the minimums prescribed by the Civil Aeronautics Administration and in maneuvering for such a landing at a dangerously low altitude."
605,1941-02-06,Trans Canada Air Lines,Toronto - Winnipeg,Lockheed 14-H2 Super Electra,9,3,9,3,0,The plane crashed after the right wing struck a tree as the pilot was attempting to land in adverse weather. Struck several other trees and landed inverted in a swamp.
606,1941-02-26,Eastern Air Lines,New York City -  Washington D.C. - Atlanta - Brownsville,Douglas DC-3,13,3,6,3,0,"The aircraft crashed into a hill in pine woods, near Chandler Field, while attempting to make an instrument landing approach in rain and fog. The failure of the captain in charge of the flight to exercise the proper degree of fare by not checking his altimeters to determine whether both were correctly set and properly functioning before commencing his landing approach. A substantial contributing factor was the absence of an established uniform cockpit procedure on Eastern Air Lines by which both the captain and co-pilot are required to make a complete check of the controls and instruments during landing operations. Captain Edward Rickenbacker, President of Eastern Air Lines, survived the crash."
607,1941-03-01,Deutsche Lufthansa,Sin dato,Junkers JU-52/3m,9,3,3,0,0,The seaplane crashed while attemping to land and sunk.
608,1941-03-28,South African Airways,Luanda - Windhoek - Cape Town,Lockheed 18 Lodestar,6,4,6,4,0,Crashed into a mountain near Elands Bay in inclement weather.
609,1941-06-03,Great Western and Southern Air Lines,"Isles of Scilly - Penzance, Cornwall",de Havilland DH-84 Dragon,5,1,5,1,0,Shot down by a He-111 German military aircraft 20 minutes after takeoff..
610,1941-06-18,LARES,Bucharest - Sofia,Douglas DC-3,3,15,0,0,0,Stalled and crashed during takeoff.
611,1941-06-21,Manchurian Air Lines,Sin dato,Mitsubishi MC-20,15,3,15,3,0,Crashed while en route. Cause unknown.
612,1941-07-30,Ala Littoria,Rome - Cagliari,Macchi C.100,20,5,5,0,0,After an engine failed the crew decided to return but encountered turbulence and crashed.
613,1941-08-10,Military -Royal Air Force,Sin dato,Consolidated LB-30A Liberator,17,5,17,5,0,"Crashed into a mountain ridge in rain, low visibility and overcast conditions. Navigational error."
614,1941-08-14,Military - Royal Air Force,Sin dato,Consolidated LB-30A Liberator,0,0,0,0,0,"Crashed and burned on takeoff at Heathfield airfield, after veered off the runway and striking a small building and then an embankment."
615,1941-08-18,Panair do Brasil,Curitiba - Sao Paulo,Lockheed 18 LodeStar,10,4,5,3,0,After a goaround the plane diverted from its prescribed course and crashed into a mountain.
616,1941-08-27,Airlines of Australia,Horn Island - Coen - Cairns,de Havilland DH.80 Puss Moth,2,1,2,1,0,On approach the left wing broke off and the aircraft crashed in a field.
617,1941-09-01,British Overseas Airways,Sin dato,Consolidated 32-2 Liberator I,0,0,0,0,0,Crashed into a hillside.
618,1941-09-01,Air France,Marseille - Toulouse,Bloch 220,14,3,12,3,0,The aircraft crashed into lake Bolomon after engine failure during takeoff in windy conditions.
619,1941-10-03,Pan American World Airways,Miami - Buenos Aires,Sikorsky S-42B (flying boat),9,6,2,0,0,"Following the approach, the aircraft contacted the water in an unduly nose-low attitude while moving sideways relative to the water.  Almost immediately after first contact with the water, the aircraft swerved violently to the right and broke into several major sections. The failure of the captain to exercise requisite caution and skill in landing. A contributing factor was the smooth surface of the water, which rendered difficult, the captain's depth perception as well as the exact determination of any lateral movement of the aircraft."
620,1941-10-28,Deutsche Lufthansa,Athens - Sofia,Junkers JU-53/3m,10,3,10,3,0,"Crashed on the Greek/Hungarian border. Cause unknown,"
621,1941-10-30,Northwest Orient Airlines,Minneapolis - Fargo,Douglas DC-3,13,2,13,1,0,"Crashed in fog and mist due to icing on the wings. The pilot, Clarence Bates, was thrown clear of the wreckage and was the lone survivor. Accumulation of ice on the wings and other surfaces of the airplane, increasing the stalling speed and the drag of the airplane on the power required to maintain flight. Action of the captain in descending to attempt a landing at Fargo with known icing conditions and critical ceiling conditions instead of proceeding to an available alternate."
622,1941-10-30,American Airlines,New York - Buffalo - Chicago - Detroit,Douglas DC-3,17,3,17,3,0,"The aircraft, on a flight from New York to Chicago, circled a wooded area 3 or 4 times looking for a landing spot before stalling and diving into a plowed field. Cause unknown."
623,1941-11-29,Aeroflot,Chardzhou - Urgench,Tupolev ANT-6,31,5,5,2,0,"During the initial climb at night, the pilot in command suffered a spatial disorientation stalled the plane and crashed."
624,1941-12-11,Pan American Airways,Sin dato,Sin dato,0,0,0,0,0,Sin dato
625,1941-12-26,Aeroflot,Almaty - Karaganda - Aktyubinsk - Kuybyshev - Kazan,Tupolev ANT-6,28,6,21,5,0,"The crew decided to takeoff in below-minima weather conditions with low clouds, fog, turbulences and severe icing. While attempting to return to the airport the aircraft lost altitude and crashed into a field."
626,1941-12-29,BOAC,Sin dato,Short S-23 Empire Flying Boat,0,4,0,4,0,While taking off the plane hit debris in the water and broke up.
627,1942-01-16,Trans Continental and Western Air,Las Vegas - Los Angeles,Douglas DC-3,19,3,19,3,0,"The aircraft crashed into Mt. Potosi (Double Up Peak, Table Spring Mountain, Olcott Mountain), 32 miles SW of Las Vegas, NV, 15 minutes after taking off from the Western Airlines terminal building at Las Vegas. The aircraft clipped a rocky ledge, cartwheeled into the face of a cliff and exploded, scattering wreckage at the bottom of a ravine. Actress Carole Lombard, 33, her mother, and press agent  were killed in the crash. Her mother did not want to fly and a coin was tossed to see whether the trip would be made by train or plane. The actress was returning from a war-bond promotion.  The flight was 6.7 miles off course for unknown reasons.  Failure of the captain to follow a proper course and make use of navigation facilities available to him. A contributing factor was the blackout of beacons in the area made necessary because of the war emergency."
628,1942-01-20,Military - Royal Australian Air Force,Sin dato,Lockheed Hudson,7,4,0,4,0,"Shortly after taking off the left engine caught fire, the plane stalled and crashed."
629,1942-01-26,KNILM,Sin dato,Grumman G-21 Goose,2,3,2,3,0,Shot down by Japanese military aircraft.
630,1942-01-30,Qantas,"Darwin - Surabaya, Dutch East Indies",Short S-23 (flying boat),13,5,11,2,0,Shot down by Japanese military aircraft. Owned by British Overseas Airways.
631,1942-02-15,British Overseas Airways,"Cairo, Egypt - England",Consolidated Liberator,4,5,4,5,0,Shot down in error by two Royal Air Force Spitfire fighters..
632,1942-02-19,China National Aviation Corporation,Sin dato,Douglas DC-2,0,1,0,1,0,Crashed under unknown circumstances.
633,1942-02-20,Qantas,Brisbane - Darwin,deHavilland DH-86,7,2,7,2,0,Crashed shortly after takeoff from Archerfield Airfiield  into a hillside. Suffered structural failure while flying in adverse weather conditons of wind and low overcast.
634,1942-02-28,British Overseas Airways,"Java - Broom, Australia",Short S-23 (flying boat),16,4,16,4,0,Shot down by Japanese military aircraft about 150 miles from Java.
635,1942-03-03,KNILM,Java - Australia,Douglas DC-3,8,4,0,0,0,Shot down by Japanese military aircraft.
636,1942-03-03,Military - U.S. Army Air Force,Broome - Kupang,Consolidated B-24 Liberator,19,2,18,2,0,Shot down shortly after taking off by a Japanese fighter.
637,1942-03-14,China National Aviation Corporation,Kunming - Chungking,Douglas DC-2-221,14,3,10,3,0,"Crashed 2 km from the Kunming Airdome shortly after takeoff.  Possible causes include engine failure,  overloading, sabotage and temporary blinding by a bright light."
638,1942-04-21,Guinea Airways Limited,Brisbane - Bachelor Field,Lockheed 14 Electra,10,2,10,2,0,"The aircraft was on a government charter carrying US teletype operators from a course they'd completed in Brisbane. They departed Archerfield (Brisbane) at 0622 EST and refuelled at Charleville, Cloncurry, and Daily Waters, departing from Daily Waters at 1655 Central Standard time. From there a chain of events happened and they remained lost in scattered thunderstorms and drizzle and the blacked out North, being told by Darwin D/F that they were over a hundred miles north of where they really were, due to the inadequacies of the equipment at that time of day, the storms and long distance. In an attempt to force land before running out of fuel, they probably had an engine failure from fuel starvation in the lower engine as they oozed around in a slow turn where the captain would have been peering forward out of an open window, trying to locate a lighter (more grassy) spot in the bush to put down in rain. They probably would have been very slow so as to descend rapidly when a likely spot was sighted and on increasing power on the remaining engine the Electra flipped into a vertical bank and struck a ridge top. The wreckage was found on 6/22/1943.We feel that they would have been very slow so as to descend rapidly when a likely spot was sighted and on increasing power on the remaining engine the Electra flipped into a vertical bank and struck a ridge top as one wing was undamaged and removed from the site when it was found.Lockheed 14s were renown as nasty buggers at low speed on one engine."
639,1942-05-01,United Air Lines,San Francisco - New York City,Douglas DST-A-207A,14,3,14,3,0,"After taking off from Salt Lake, the aircraft proceeded in the wrong direction and crashed into the side of a hill 3.8 miles northeast of the Salt Lake City Airport. The point of impact was at an elevation of 5,053 feet above sea level and about 830 feet above the airport. A deviation from the proper course, for reasons undetermined."
640,1942-05-12,Northwest Orient Airlines,Chicago - Seattle,Douglas DC-3-A-269,10,4,0,3,0,"The plane hit an obstruction at the end of the runway, overran the runway boundry and crashed. The failure of the captain to complete the landing run in time to avoid the obstruction at the end of the runway, for reasons undetermined, and his action in attempting to take off after striking the obstruction."
641,1942-05-19,LATI,"Rome - Tripoli, Lybia",Savoia-Marchetti SM-75,16,4,16,4,0,"Stalled, struck trees, crashed and burned immediately after takeoff."
642,1942-07-01,Military - U.S. Army Air Forces,Battle Creek - Cincinnati - Florence,Douglas C-49E,19,2,19,2,0,"Flew into a thunderstorm and was observed in a near vertical dive before crashing to the ground.  Icing, possible overloading."
643,1942-07-07,Military - Royal Australian Air Force,Horn Island - Amberley,Lockheed Hudson,0,10,0,10,0,"While approaching Amberley at night, the crew became lost and continued south. After running out of fuel, the aircraft crashed into the sea some 3 km off Broken Head and sunk."
644,1942-07-20,Military - Royal Air Force,Sydenham - Hendon,Lockheed Hudson,10,3,10,3,0,The aircraft went out of control while flying in thunderstorm activity and may have been struck by lightning.
645,1942-08-13,Air France,Sin dato,Liore et Olivier H-246 Air Boat,6,4,4,0,0,Attacked by Royal Air Force fighters.  Crashed in the water while attempting to land and sank.
646,1942-08-21,Deutsche Lufthansa,Sin dato,Siebel Si-204,2,2,2,2,0,"Lufthansa chairman, Von Gablenz killed."
647,1942-08-22,KLM Royal Dutch Airlines,Trinidad - Curacao,Lockheed 14 Electra,10,3,10,3,0,"Shortly after taking off all radio contact was lost with the aircraft. Next day, the wreckage was found near the airport. The cause was never determined. Possible encounter with a severe thunderstorm."
648,1942-08-23,Military - Royal Air Force,Oban - Invergordon - Keflavik,Short Sunderland,11,4,10,4,0,"The plane crashed while on a flight to Iceland during WWII. The aircraft was part of the 228th Squadron RAF.  The plane hit high ground at Eagle Rock in the Scottish Highlands in poor visibility. Possible navigational error but exact cause unknown.  Prince George, Duke of Kent was among the dead."
649,1942-09-24,British Overseas Airways,Lagos - Bathurst - Lisbon - Poole,Short S-30 (flying boat),13,6,13,6,0,"Possible catastrophic in-flight fire possibly related to the design of its fuel-intake system, 90 minutes after departure."
650,1942-09-27,Air France,"Marseille, France - Dakar, Senegal",Dewoitine D-342,18,7,18,7,0,Crashed during takeoff after an in-flight failure of a wing.
651,1942-09-28,Panair do Brasil SA,Rio de Janeiro - Sao Paulo,Lockheed 18 Loadstar,11,4,11,4,0,"Struck a mountain, 5 miles from its destination in adverse weather."
652,1942-10-01,China National Aviation Corporation,Sin dato,Douglas C-47,0,0,0,0,0,Crashed while attempting to land after losing oil pressure on one engine.
653,1942-10-01,Military - U.S. Army Air Forces,Juana Díaz-Losey Field - San Juan,Douglas C-39-DO  (DC-2),17,5,17,5,0,The aircraft made a wide descending turn with engines running roughly and crashed into a hill in poor visibility.
654,1942-10-03,American Export Airlines,"New York - Botwood - Foynes, Ireland",Sirkorsky 44A (flying boat),26,11,6,5,0,"While attempting to takeoff, aircraft porpoised, attained a height of 35 ft. and then crashed into the water and broke up. Inadvertent actuation of the wing flaps to the full 35 degrees position during the take-off run, thereby rendering the aircraft excessively nose-heavy and uncontrollable."
655,1942-10-22,Aeroflot,Moscow - Kazan - Sverdlovsk,GVF PS-84,7,5,5,5,0,Crashed while on final approach. Icing. Incorrect weather conditions supplied to crew.
656,1942-10-22,Deutsche Lufthansa,Budapest - Belgrade,Junkers JU-52/3m,14,3,14,3,0,The aircraft struck the north slope of Mt. Fruka Gora. Improper weather information provided to the crew.
657,1942-10-23,American Airlines / Military - USAF,Palm Springs - New York City,Douglas DC-3 / Lockheed B-34,10,3,10,2,0,"Midair collision between an Army bomber and airliner over Chino Canyon near Palm Springs at 9,000 feet destroying the rudder of the DC-3.  All 12 aboard the DC-3 were killed. The Lockheed B-34 landed safely with minor damage. The reckless and irresponsible conduct of the bomber pilot, William Wilson, in deliberately maneuvering a bomber in dangerous proximity to an airliner in an unjustifiable attempt to attract the attention of the first officer, his friend aboard the airliner. Composer and song writer Ralph Rainger, 41, killed."
658,1942-10-24,Avianca,Sin dato,Boeing 247,4,2,4,2,0,Struck a mouintian 8km from La Esperanza.
